,Player,Position,age,Team,Games,Gstart,Minutes,Field-Per-Game,Field-Attempts,Field_Goal_Percentage,three_Point_Field_Goals_Per_Game,three_Point_Field_attemps_Goal_Percentage,three_Point_Field_Goal_Percentage,two_Point_Field_Goals_Per_Game,two_Point_Field_Goal_Attempts_Per_Game,two_Point_Field_Goal_Percentage,Effective_Field_Goal_Percentage,Free_Throws_Per_Game,Free_Throws_attemps_Per_Game,Free_Throws_Percentage,Offensive_Rebounds_Per_Game,Defensive_Rebounds_Per_Game,Total_Rebounds_Per_Game,Assists_Per_Game,Steals_Per_Game,Blocks_Per_Game,Turnovers_Per_Game,Personal_Fouls_Per_Game,Points_Per_Game,season
1514,Eric Maynor,PG,22,TOT,81,2,15.7,1.9,4.5,.418,0.3,0.9,.310,1.6,3.7,.444,.448,0.6,0.9,.722,0.3,1.3,1.6,3.3,0.5,0.1,1.0,1.4,4.7,19
1515,Eric Maynor,PG,22,UTA,26,2,14.0,2.0,5.1,.391,0.2,0.9,.208,1.8,4.2,.431,.410,1.0,1.3,.758,0.4,1.1,1.5,3.1,0.5,0.1,1.1,1.3,5.2,19
1516,Eric Maynor,PG,22,OKC,55,0,16.5,1.9,4.3,.434,0.3,0.9,.362,1.5,3.4,.452,.470,0.5,0.7,.692,0.2,1.5,1.7,3.4,0.5,0.1,1.0,1.5,4.5,19
1517,O.J. Mayo,SG,22,MEM,82,82,38.0,6.6,14.4,.458,1.7,4.3,.383,5.0,10.1,.490,.516,2.6,3.2,.809,0.7,3.0,3.8,3.0,1.2,0.2,2.1,2.1,17.5,19
1518,Luc Mbah a Moute,PF,23,MIL,73,62,25.6,2.4,5.1,.480,0.1,0.2,.353,2.3,4.8,.486,.488,1.3,1.8,.699,2.3,3.1,5.5,1.1,0.8,0.5,1.0,2.5,6.2,19
1519,Antonio McDyess,PF,35,SAS,77,50,21.0,2.7,5.6,.479,0.0,0.0,.000,2.7,5.5,.481,.479,0.5,0.7,.632,1.9,4.0,5.9,1.1,0.6,0.4,1.0,1.9,5.8,19
1520,JaVale McGee,C,22,WAS,60,19,16.1,2.6,5.1,.508,0.0,0.0,.000,2.6,5.1,.510,.508,1.2,1.9,.638,1.5,2.6,4.1,0.2,0.3,1.7,0.9,2.0,6.4,19
1521,Tracy McGrady*,SG,30,TOT,30,24,22.4,3.0,7.8,.387,0.5,2.1,.250,2.5,5.7,.439,.421,1.6,2.1,.746,0.7,2.4,3.1,3.3,0.5,0.5,1.5,1.3,8.2,19
1522,Tracy McGrady*,SG,30,HOU,6,0,7.7,1.2,3.2,.368,0.2,0.3,.500,1.0,2.8,.353,.395,0.7,1.0,.667,0.0,0.8,0.8,1.0,0.0,0.3,0.2,0.3,3.2,19
1523,Tracy McGrady*,SG,30,NYK,24,24,26.1,3.5,9.0,.389,0.6,2.6,.242,2.9,6.4,.448,.424,1.8,2.4,.754,0.9,2.8,3.7,3.9,0.6,0.5,1.8,1.6,9.4,19
1524,Dominic McGuire,SF,24,TOT,51,2,6.0,0.4,1.0,.365,0.0,0.0,,0.4,1.0,.365,.365,0.0,0.1,.000,0.5,1.1,1.5,0.2,0.1,0.1,0.3,0.7,0.7,19
1525,Dominic McGuire,SF,24,WAS,41,0,5.9,0.4,1.0,.375,0.0,0.0,,0.4,1.0,.375,.375,0.0,0.1,.000,0.4,1.1,1.5,0.2,0.1,0.1,0.2,0.8,0.7,19
1526,Dominic McGuire,SF,24,SAC,10,2,6.7,0.4,1.2,.333,0.0,0.0,,0.4,1.2,.333,.333,0.0,0.2,.000,0.6,1.2,1.8,0.3,0.1,0.1,0.7,0.3,0.8,19
1527,Josh McRoberts,C,22,IND,42,3,12.5,1.8,3.5,.521,0.2,0.5,.348,1.6,2.9,.553,.548,0.5,0.9,.500,1.0,2.1,3.0,1.0,0.4,0.4,0.5,1.8,4.3,19
1528,Jodie Meeks,SG,22,TOT,60,0,12.0,1.7,4.5,.388,0.7,2.2,.318,1.0,2.3,.456,.466,0.5,0.7,.795,0.2,1.5,1.7,0.7,0.3,0.1,0.4,0.9,4.7,19
1529,Jodie Meeks,SG,22,MIL,41,0,11.9,1.6,4.3,.362,0.6,2.0,.280,1.0,2.3,.432,.427,0.4,0.5,.857,0.1,1.6,1.8,0.5,0.3,0.1,0.5,0.8,4.1,19
1530,Jodie Meeks,SG,22,PHI,19,0,12.3,2.1,4.8,.440,1.0,2.6,.380,1.1,2.2,.512,.544,0.7,0.9,.722,0.2,1.2,1.4,0.9,0.3,0.1,0.3,1.0,5.9,19
1531,Pops Mensah-Bonsu,PF,26,TOT,20,0,6.0,0.7,1.7,.394,0.0,0.0,,0.7,1.7,.394,.394,0.7,1.2,.542,0.8,1.0,1.8,0.2,0.2,0.5,0.5,1.0,2.0,19
